id;description;heure_debut;heure_fin;duree;validation;nombre_par_equipe;status
1;incentivize capacitor;2022-12-05T09:13:42;2022-12-05T09:35:58;72290;false;41101;FEREME
2;Louisiana generating Villages;2022-12-05T04:17:32;2022-12-04T23:03:09;3116;false;15348;ENCOURS
3;Product;2022-12-05T11:58:24;2022-12-05T02:06:01;67244;true;40093;FEREME
4;Outdoors;2022-12-04T22:51:19;2022-12-05T09:53:19;85889;true;1975;FEREME
5;Auto invoice;2022-12-05T11:29:29;2022-12-04T21:59:44;52569;false;78005;OUVERT
6;Borders;2022-12-05T06:02:35;2022-12-05T17:50:50;24674;true;64439;OUVERT
7;reboot Lari;2022-12-05T04:25:43;2022-12-05T15:51:11;7038;false;55812;OUVERT
8;Virginia Hampshire;2022-12-05T02:28:22;2022-12-05T08:43:16;74702;true;80398;ENCOURS
9;Villages withdrawal Plaza;2022-12-05T03:58:43;2022-12-05T01:05:39;44398;true;23758;ENCOURS
10;Hampshire Managed Montana;2022-12-04T23:50:11;2022-12-05T06:14:07;3497;true;26854;OUVERT
